"AdminArea" "Province" "Municipality" "med_price_house" "newshops" "bankrupcies" "Mean_income" "tax_forms" "hotel_restaur" "Industries" "health_social"
"Vlaams_Gewest" "Oost_Vlaanderen" "Zelzate" 179 9 154 26.09473 7375 43 52 9
"Vlaams_Gewest" "Oost_Vlaanderen" "Aalter" 244.643 7 223 29.74198 10705 79 150 35
"Vlaams_Gewest" "Oost_Vlaanderen" "Deinze" 227.5 0 317 28.69832 16502 93 195 35
"Vlaams_Gewest" "Oost_Vlaanderen" "DePinte" 315.108 1 92 37.95446 5645 171 29 8
"Vlaams_Gewest" "Oost_Vlaanderen" "Destelbergen" 255 1 184 32.56127 10140 41 92 26
"Vlaams_Gewest" "Oost_Vlaanderen" "Evergem" 230 5 281 29.5023 18871 77 197 28
"Vlaams_Gewest" "Oost_Vlaanderen" "Gavere" 249.5 1 94 30.40967 7129 149 79 15
"Vlaams_Gewest" "Oost_Vlaanderen" "Gent" 251.213 138 4108 25.97262 147070 57 1342 340
"Vlaams_Gewest" "Oost_Vlaanderen" "Knesselare" 225.375 2 66 25.99402 4663 1634 55 8
"Vlaams_Gewest" "Oost_Vlaanderen" "Lochristi" 261.25 24 205 31.7309 11715 39 103 25
"Vlaams_Gewest" "Oost_Vlaanderen" "Lovendegem" 267 2 69 31.87242 5292 77 42 9
"Vlaams_Gewest" "Oost_Vlaanderen" "Melle" 237 5 110 30.69399 6190 42 56 9
"Vlaams_Gewest" "Oost_Vlaanderen" "Merelbeke" 260 5 223 32.61606 13066 51 100 30
"Vlaams_Gewest" "Oost_Vlaanderen" "Moerbeke_Gent" 228.099 0 46 30.25465 3372 110 21 7
"Vlaams_Gewest" "Oost_Vlaanderen" "Nazareth" 262.5 2 160 30.10045 6444 31 96 12
"Vlaams_Gewest" "Oost_Vlaanderen" "Nevele" 265 0 95 29.4145 6438 63 69 10
"Vlaams_Gewest" "Oost_Vlaanderen" "Oosterzele" 250 1 98 30.68038 7450 50 68 17
"Vlaams_Gewest" "Oost_Vlaanderen" "Sint_Martens_Latem" 369 3 169 40.61656 4616 65 42 15
"Vlaams_Gewest" "Oost_Vlaanderen" "Waarschoot" 198 2 52 26.71752 4619 63 43 9
"Vlaams_Gewest" "Oost_Vlaanderen" "Wachtebeke" 188.75 0 53 28.9941 4026 43 26 8
"Vlaams_Gewest" "Oost_Vlaanderen" "Zomergem" 260 2 50 27.18046 4698 30 55 10
"Vlaams_Gewest" "Oost_Vlaanderen" "Zulte" 209 1 152 27.85038 8285 38 124 8
"Vlaams_Gewest" "Oost_Vlaanderen" "Kruishoutem" 285 1 76 29.98164 4539 62 88 13
"Vlaams_Gewest" "Oost_Vlaanderen" "Oudenaarde" 200 36 341 28.48898 17221 41 198 27
"Vlaams_Gewest" "Oost_Vlaanderen" "Ronse" 140 27 297 23.15111 14091 183 116 19
"Vlaams_Gewest" "Oost_Vlaanderen" "Zingem" 238.5 0 53 28.53142 3985 128 60 6
"Vlaams_Gewest" "Oost_Vlaanderen" "Brakel" 175 3 95 27.89053 8220 31 86 11
"Vlaams_Gewest" "Oost_Vlaanderen" "Kluisbergen" 155 2 81 27.37663 3626 83 40 5
"Vlaams_Gewest" "Oost_Vlaanderen" "Wortegem_Petegem" 276.321 0 45 30.8406 3415 55 37 6
"Vlaams_Gewest" "Oost_Vlaanderen" "Horebeke" 205 0 16 29.33528 1144 36 8 1
"Vlaams_Gewest" "Oost_Vlaanderen" "Lierde" 190 0 43 29.45686 3654 14 24 6
"Vlaams_Gewest" "Oost_Vlaanderen" "Maarkedal" 244 0 40 28.32045 3689 24 38 10
"Vlaams_Gewest" "Oost_Vlaanderen" "Zwalm" 221.5 1 68 29.93615 4505 33 30 8
"Vlaams_Gewest" "Oost_Vlaanderen" "Beveren_Sint_Niklaas" 227.5 22 483 29.86833 26420 70 165 31
"Vlaams_Gewest" "Oost_Vlaanderen" "Kruibeke" 219 5 172 28.82281 8862 193 76 16
"Vlaams_Gewest" "Oost_Vlaanderen" "Lokeren" 200 32 544 27.66108 21752 73 228 35
"Vlaams_Gewest" "Oost_Vlaanderen" "Sint_Gillis_Waas" 220 6 228 28.96058 10192 198 77 20
